,Education,JoiningYear,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,LeaveOrNot
4399,Bachelors,2012,Bangalore,3,38,Male,No,4,0
4410,Bachelors,2017,Bangalore,3,38,Male,No,1,0
4415,Bachelors,2016,Bangalore,3,31,Male,No,5,0
4426,Bachelors,2014,Bangalore,3,32,Male,No,1,0
4437,Bachelors,2013,Bangalore,3,39,Male,No,5,1
4441,Bachelors,2016,Bangalore,3,33,Male,No,4,0
4442,PHD,2018,Bangalore,3,33,Male,No,2,1
4447,Bachelors,2014,Bangalore,3,33,Male,No,3,0
4448,Bachelors,2016,Bangalore,3,35,Male,No,3,0
4449,Bachelors,2013,Bangalore,3,33,Male,No,3,1
4457,Bachelors,2016,Bangalore,3,33,Male,No,0,0
4461,Bachelors,2015,Bangalore,3,33,Male,Yes,4,0
4465,Bachelors,2014,Bangalore,3,38,Male,No,2,0
4469,Bachelors,2015,Bangalore,3,40,Male,No,4,0
4478,Bachelors,2014,Bangalore,3,35,Male,No,1,0
4482,Bachelors,2014,Bangalore,3,31,Male,No,0,0
4483,Bachelors,2014,Bangalore,3,34,Male,No,5,0
4493,Bachelors,2014,Bangalore,3,39,Male,No,0,0
4494,Bachelors,2017,Bangalore,3,39,Male,No,3,0
4503,Bachelors,2018,Bangalore,3,31,Male,Yes,0,1
4516,Bachelors,2013,Bangalore,3,35,Male,No,5,0
4537,Bachelors,2015,Bangalore,3,31,Male,No,2,1
4558,Bachelors,2017,Bangalore,3,40,Male,No,5,0
4559,Bachelors,2016,Bangalore,3,40,Male,No,3,0
4562,Bachelors,2015,Bangalore,3,34,Male,No,4,0
4565,Bachelors,2015,Bangalore,1,35,Male,No,3,0
4570,Bachelors,2014,Bangalore,3,32,Male,No,2,0
4574,Bachelors,2016,Bangalore,3,37,Male,No,2,0
4575,Bachelors,2014,Bangalore,3,36,Male,No,3,0
4578,Bachelors,2014,Bangalore,3,39,Male,No,3,0
4585,Bachelors,2014,Bangalore,3,34,Male,No,4,0
4588,Bachelors,2013,Bangalore,3,31,Male,No,3,0
4590,Bachelors,2017,Bangalore,3,36,Male,No,4,1
4598,Bachelors,2018,Bangalore,3,31,Male,No,0,1
4599,Bachelors,2013,Bangalore,3,36,Male,No,0,0
4601,Bachelors,2016,Bangalore,3,37,Male,No,2,0
4602,Bachelors,2015,Bangalore,3,39,Male,No,2,0
4608,Bachelors,2015,Bangalore,3,39,Male,No,2,0
4615,Bachelors,2013,Bangalore,3,34,Male,No,4,0
4621,Bachelors,2015,Bangalore,3,31,Male,No,5,0
4624,Bachelors,2017,Bangalore,3,38,Male,No,3,0
4629,Bachelors,2017,Bangalore,2,35,Male,No,0,0
4631,Bachelors,2018,Bangalore,3,32,Male,Yes,1,1
4633,Bachelors,2016,Bangalore,3,37,Male,No,2,0
4637,Bachelors,2018,Bangalore,3,32,Male,Yes,2,1
4640,Bachelors,2015,Bangalore,3,35,Male,No,0,0
4652,Bachelors,2015,Bangalore,3,33,Male,Yes,4,0
